CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
619,Female,42,2,0.0,1,1,1,101348.9,1
608,Female,41,1,83807.9,1,0,1,112542.6,0
502,Female,42,8,159660.8,3,1,0,113931.6,1
699,Female,39,1,0.0,2,0,0,93826.6,0
850,Female,43,2,125510.8,1,1,1,79084.1,0
645,Male,44,8,113755.8,2,1,0,149756.7,1
822,Male,50,7,0.0,2,1,1,10062.8,0
376,Female,29,4,115046.7,4,1,0,119346.9,1
501,Male,44,4,142051.1,2,0,1,74940.5,0
684,Male,27,2,134603.9,1,1,1,71725.7,0
528,Male,31,6,102016.7,2,0,0,80181.1,0
497,Male,24,3,0.0,2,1,0,76390.0,0
476,Female,34,10,0.0,2,1,0,26261.0,0
549,Female,25,5,0.0,2,0,0,190857.8,0
635,Female,35,7,0.0,2,1,1,65951.7,0
616,Male,45,3,143129.4,2,0,1,64327.3,0
653,Male,58,1,132602.9,1,1,0,5097.7,1
549,Female,24,9,0.0,2,1,1,14406.4,0
587,Male,45,6,0.0,1,0,0,158684.8,0
726,Female,24,6,0.0,2,1,1,54724.0,0
732,Male,41,8,0.0,2,1,1,170886.2,0
636,Female,32,8,0.0,2,1,0,138555.5,0
510,Female,38,4,0.0,1,1,0,118913.5,1
669,Male,46,3,0.0,2,0,1,8487.8,0
846,Female,38,5,0.0,1,1,1,187616.2,0
577,Male,25,3,0.0,2,0,1,124508.3,0
756,Male,36,2,136815.6,1,1,1,170042.0,0
571,Male,44,9,0.0,2,0,0,38433.4,0
574,Female,43,3,141349.4,1,1,1,100187.4,0
411,Male,29,0,59697.2,2,1,1,53483.2,0
591,Female,39,3,0.0,3,1,0,140469.4,1
533,Male,36,7,85311.7,1,0,1,156731.9,0
553,Male,41,9,110112.5,2,0,0,81898.8,0
520,Female,42,6,0.0,2,1,1,34410.6,0
722,Female,29,9,0.0,2,1,1,142033.1,0
475,Female,45,0,134264.0,1,1,0,27823.0,1
490,Male,31,3,145260.2,1,0,1,114066.8,0
804,Male,33,7,76548.6,1,0,1,98453.5,0
850,Male,36,7,0.0,1,1,1,40812.9,0
582,Male,41,6,70349.5,2,0,1,178074.0,0
472,Male,40,4,0.0,1,1,0,70154.2,0
465,Female,51,8,122522.3,1,0,0,181297.7,1
556,Female,61,2,117419.4,1,1,1,94153.8,0
834,Female,49,2,131394.6,1,0,0,194365.8,1
660,Female,61,5,155931.1,1,1,1,158338.4,0
776,Female,32,4,109421.1,2,1,1,126517.5,0
829,Female,27,9,112045.7,1,1,1,119708.2,1
637,Female,39,9,137843.8,1,1,1,117622.8,1
550,Male,38,2,103391.4,1,0,1,90878.1,0
776,Female,37,2,103769.2,2,1,0,194099.1,0
698,Male,44,10,116363.4,2,1,0,198059.2,0
585,Male,36,5,146051.0,2,0,0,86424.6,0
788,Female,33,5,0.0,2,0,0,116978.2,0
655,Male,41,8,125562.0,1,0,0,164040.9,1
601,Male,42,1,98495.7,1,1,0,40014.8,1
619,Male,43,1,125211.9,1,1,1,113410.5,0
656,Male,45,5,127864.4,1,1,0,87107.6,0
725,Male,19,0,75888.2,1,0,0,45613.8,0
511,Female,66,4,0.0,1,1,0,1643.1,1
614,Male,51,4,40685.9,1,1,1,46775.3,0
742,Male,35,5,136857.0,1,0,0,84509.6,0
687,Female,27,9,152328.9,2,0,0,126494.8,0
555,Male,33,1,56084.7,2,0,0,178798.1,0
684,Male,56,8,78707.2,1,1,1,99398.4,0
603,Male,26,4,109166.4,1,1,1,92840.7,0
751,Female,36,6,169831.5,2,1,1,27758.4,0
581,Female,34,1,101633.0,1,1,0,110431.5,0
735,Male,43,10,123180.0,2,1,1,196673.3,0
661,Female,35,5,150725.5,2,0,1,113656.9,0
675,Female,21,8,98373.3,1,1,0,18203.0,0
738,Male,58,2,133745.4,4,1,0,28373.9,1
813,Male,29,6,0.0,1,1,0,33953.9,0
657,Female,37,0,163607.2,1,0,1,44203.6,0
604,Female,25,5,157780.8,2,1,1,58426.8,0
519,Male,36,9,0.0,2,0,1,145562.4,0
735,Female,21,1,178718.2,2,1,0,22388.0,0
664,Male,55,8,0.0,2,1,1,139161.6,0
678,Female,32,9,0.0,1,1,1,148210.6,0
757,Male,33,5,77253.2,1,0,1,194239.6,0
416,Female,41,10,122189.7,2,1,0,98301.6,0
665,Female,34,1,96645.5,2,0,0,171413.7,0
777,Female,32,2,0.0,1,1,0,136458.2,1
543,Female,36,3,0.0,2,0,0,26019.6,0
506,Female,34,4,90307.6,1,1,1,159235.3,0
493,Female,46,4,0.0,2,1,0,1907.7,0
652,Female,75,10,0.0,2,1,1,114675.8,0
750,Male,22,3,121681.8,1,1,0,128643.4,1
729,Male,30,9,0.0,2,1,0,151869.4,0
646,Female,46,4,0.0,3,1,0,93251.4,1
635,Female,28,3,81623.7,2,1,1,156791.4,0
647,Female,44,5,0.0,3,1,1,174205.2,1
808,Male,45,7,118626.6,2,1,0,147132.5,0
524,Female,36,10,0.0,2,1,0,109614.6,0
769,Male,29,8,0.0,2,1,1,172290.6,0
730,Male,42,4,0.0,2,0,1,85982.5,0
515,Male,35,10,176274.0,1,0,1,121277.8,0
773,Male,41,9,102827.4,1,0,1,64595.3,0
